Dataset,Horizon,Model,MSE,MAE
ETTh1,96,RDTU,0.443,0.451
ETTh1,192,RDTU,0.482,0.479
ETTh1,336,RDTU,0.585,0.536
ETTh1,720,RDTU,0.694,0.587
ETTh1,Avg,RDTU,0.551,0.513
ETTh1,96,Time-LLM,0.448,0.460
ETTh1,192,Time-LLM,0.484,0.483
ETTh1,336,Time-LLM,0.589,0.540
ETTh1,720,Time-LLM,0.700,0.604
ETTh1,Avg,Time-LLM,0.556,0.522
ETTh1,96,GPT4TS,0.458,0.456
ETTh1,192,GPT4TS,0.570,0.516
ETTh1,336,GPT4TS,0.608,0.535
ETTh1,720,GPT4TS,0.725,0.591
ETTh1,Avg,GPT4TS,0.590,0.525
ETTh1,96,DLinear,0.492,0.495
ETTh1,192,DLinear,0.565,0.538
ETTh1,336,DLinear,0.721,0.622
ETTh1,720,DLinear,0.986,0.743
ETTh1,Avg,DLinear,0.691,0.600
ETTh1,96,PatchTST,0.516,0.485
ETTh1,192,PatchTST,0.598,0.524
ETTh1,336,PatchTST,0.657,0.550
ETTh1,720,PatchTST,0.762,0.610
ETTh1,Avg,PatchTST,0.633,0.542
ETTh1,96,TimesNet,0.861,0.628
ETTh1,192,TimesNet,0.797,0.593
ETTh1,336,TimesNet,0.941,0.648
ETTh1,720,TimesNet,0.877,0.641
ETTh1,Avg,TimesNet,0.869,0.628
ETTh1,96,FEDformer,0.512,0.499
ETTh1,192,FEDformer,0.624,0.555
ETTh1,336,FEDformer,0.691,0.574
ETTh1,720,FEDformer,0.728,0.614
ETTh1,Avg,FEDformer,0.639,0.561
ETTh1,96,Autoformer,0.613,0.552
ETTh1,192,Autoformer,0.722,0.598
ETTh1,336,Autoformer,0.750,0.619
ETTh1,720,Autoformer,0.721,0.616
ETTh1,Avg,Autoformer,0.702,0.596
ETTh1,96,Stationary,0.918,0.639
ETTh1,192,Stationary,0.915,0.629
ETTh1,336,Stationary,0.939,0.644
ETTh1,720,Stationary,0.887,0.645
ETTh1,Avg,Stationary,0.915,0.639
ETTh1,96,ETSformer,1.112,0.806
ETTh1,192,ETSformer,1.155,0.823
ETTh1,336,ETSformer,1.179,0.832
ETTh1,720,ETSformer,1.273,0.874
ETTh1,Avg,ETSformer,1.180,0.834
ETTh1,96,LightTS,1.298,0.838
ETTh1,192,LightTS,1.322,0.854
ETTh1,336,LightTS,1.347,0.870
ETTh1,720,LightTS,1.534,0.947
ETTh1,Avg,LightTS,1.375,0.877
ETTh1,96,Informer,1.179,0.792
ETTh1,192,Informer,1.199,0.806
ETTh1,336,Informer,1.202,0.811
ETTh1,720,Informer,1.217,0.825
ETTh1,Avg,Informer,1.199,0.809
ETTh1,96,Reformer,1.184,0.790
ETTh1,192,Reformer,1.295,0.850
ETTh1,336,Reformer,1.294,0.854
ETTh1,720,Reformer,1.223,0.838
ETTh1,Avg,Reformer,1.249,0.833
ETTh2,96,RDTU,0.271,0.322
ETTh2,192,RDTU,0.369,0.367
ETTh2,336,RDTU,0.402,0.423
ETTh2,720,RDTU,0.425,0.443
ETTh2,Avg,RDTU,0.367,0.389
ETTh2,96,Time-LLM,0.275,0.326
ETTh2,192,Time-LLM,0.374,0.373
ETTh2,336,Time-LLM,0.406,0.429
ETTh2,720,Time-LLM,0.427,0.449
