Dataset,Horizon,Model,MSE,MAE
ETTh1,Avg,RDTU,0.551,0.513
ETTh1,Avg,Time-LLM,0.556,0.522
ETTh1,Avg,GPT4TS,0.590,0.525
ETTh1,Avg,DLinear,0.691,0.600
ETTh1,Avg,PatchTST,0.633,0.542
ETTh1,Avg,TimesNet,0.869,0.628
ETTh1,Avg,FEDformer,0.639,0.561
ETTh1,Avg,Autoformer,0.702,0.596
ETTh1,Avg,Stationary,0.915,0.639
ETTh1,Avg,ETSformer,1.180,0.834
ETTh1,Avg,LightTS,1.375,0.877
ETTh1,Avg,Informer,1.199,0.809
ETTh1,Avg,Reformer,1.249,0.833
ETTh2,Avg,RDTU,0.367,0.389
ETTh2,Avg,Time-LLM,0.370,0.394
ETTh2,Avg,GPT4TS,0.397,0.421
ETTh2,Avg,DLinear,0.605,0.538
ETTh2,Avg,PatchTST,0.415,0.431
ETTh2,Avg,TimesNet,0.479,0.465
ETTh2,Avg,FEDformer,0.466,0.475
ETTh2,Avg,Autoformer,0.488,0.499
ETTh2,Avg,Stationary,0.462,0.455
ETTh2,Avg,ETSformer,0.894,0.713
ETTh2,Avg,LightTS,2.655,1.160
ETTh2,Avg,Informer,3.872,1.513
ETTh2,Avg,Reformer,3.485,1.486
ETTm1,Avg,RDTU,0.402,0.424
ETTm1,Avg,Time-LLM,0.404,0.427
ETTm1,Avg,GPT4TS,0.464,0.441
ETTm1,Avg,DLinear,0.411,0.429
ETTm1,Avg,PatchTST,0.501,0.466
ETTm1,Avg,TimesNet,0.677,0.537
ETTm1,Avg,FEDformer,0.722,0.605
ETTm1,Avg,Autoformer,0.802,0.628
ETTm1,Avg,Stationary,0.797,0.578
ETTm1,Avg,ETSformer,0.980,0.714
ETTm1,Avg,LightTS,0.971,0.705
ETTm1,Avg,Informer,1.192,0.821
ETTm1,Avg,Reformer,1.426,0.856
ETTm2,Avg,RDTU,0.274,0.319
ETTm2,Avg,Time-LLM,0.277,0.323
ETTm2,Avg,GPT4TS,0.293,0.335
ETTm2,Avg,DLinear,0.316,0.368
ETTm2,Avg,PatchTST,0.296,0.343
ETTm2,Avg,TimesNet,0.320,0.353
ETTm2,Avg,FEDformer,0.463,0.488
ETTm2,Avg,Autoformer,1.342,0.930
ETTm2,Avg,Stationary,0.332,0.366
ETTm2,Avg,ETSformer,0.447,0.487
ETTm2,Avg,LightTS,0.987,0.756
ETTm2,Avg,Informer,3.370,1.440
ETTm2,Avg,Reformer,3.978,1.587
Weather,Avg,RDTU,0.232,0.270
Weather,Avg,Time-LLM,0.234,0.273
Weather,Avg,GPT4TS,0.238,0.275
Weather,Avg,DLinear,0.241,0.283
Weather,Avg,PatchTST,0.242,0.279
Weather,Avg,TimesNet,0.279,0.301
Weather,Avg,FEDformer,0.284,0.324
Weather,Avg,Autoformer,0.300,0.342
Weather,Avg,Stationary,0.318,0.323
Weather,Avg,ETSformer,0.318,0.360
Weather,Avg,LightTS,0.289,0.322
Weather,Avg,Informer,0.597,0.495
Weather,Avg,Reformer,0.546,0.469
Electricity,Avg,RDTU,0.173,0.268
Electricity,Avg,Time-LLM,0.175,0.270
Electricity,Avg,GPT4TS,0.176,0.269
Electricity,Avg,DLinear,0.180,0.280
Electricity,Avg,PatchTST,0.180,0.273
Electricity,Avg,TimesNet,0.323,0.392
Electricity,Avg,FEDformer,0.346,0.427
Electricity,Avg,Autoformer,0.431,0.478
Electricity,Avg,Stationary,0.444,0.480
Electricity,Avg,ETSformer,0.660,0.617
Electricity,Avg,LightTS,0.441,0.489
Electricity,Avg,Informer,1.195,0.891
Electricity,Avg,Reformer,0.965,0.768
Traffic,Avg,RDTU,0.426,0.303
Traffic,Avg,Time-LLM,0.429,0.306
Traffic,Avg,GPT4TS,0.440,0.310
Traffic,Avg,DLinear,0.447,0.313
Traffic,Avg,PatchTST,0.430,0.305
Traffic,Avg,TimesNet,0.951,0.535
Traffic,Avg,FEDformer,0.663,0.425
Traffic,Avg,Autoformer,0.749,0.446
Traffic,Avg,Stationary,1.453,0.815
Traffic,Avg,ETSformer,1.914,0.936
Traffic,Avg,LightTS,1.248,0.684
Traffic,Avg,Informer,1.534,0.811
Traffic,Avg,Reformer,1.551,0.821
