Dataset,Horizon,Model,MSE,MAE
ETTh1,96,RDTU,0.479,0.460
ETTh1,192,RDTU,0.624,0.536
ETTh1,336,RDTU,0.741,0.603
ETTh1,720,RDTU,-,-
ETTh1,Avg,RDTU,0.615,0.535
ETTh1,96,Time-LLM,0.483,0.464
ETTh1,192,Time-LLM,0.629,0.540
ETTh1,336,Time-LLM,0.768,0.626
ETTh1,720,Time-LLM,-,-
ETTh1,Avg,Time-LLM,0.627,0.543
ETTh1,96,GPT4TS,0.543,0.506
ETTh1,192,GPT4TS,0.748,0.580
ETTh1,336,GPT4TS,0.754,0.595
ETTh1,720,GPT4TS,-,-
ETTh1,Avg,GPT4TS,0.681,0.560
ETTh1,96,DLinear,0.547,0.503
ETTh1,192,DLinear,0.720,0.604
ETTh1,336,DLinear,0.984,0.727
ETTh1,720,DLinear,-,-
ETTh1,Avg,DLinear,0.750,0.611
ETTh1,96,PatchTST,0.557,0.519
ETTh1,192,PatchTST,0.711,0.570
ETTh1,336,PatchTST,0.816,0.619
ETTh1,720,PatchTST,-,-
ETTh1,Avg,PatchTST,0.694,0.569
ETTh1,96,TimesNet,0.892,0.625
ETTh1,192,TimesNet,0.940,0.665
ETTh1,336,TimesNet,0.945,0.653
ETTh1,720,TimesNet,-,-
ETTh1,Avg,TimesNet,0.925,0.647
ETTh1,96,FEDformer,0.593,0.529
ETTh1,192,FEDformer,0.652,0.563
ETTh1,336,FEDformer,0.731,0.594
ETTh1,720,FEDformer,-,-
ETTh1,Avg,FEDformer,0.658,0.562
ETTh1,96,Autoformer,0.681,0.570
ETTh1,192,Autoformer,0.725,0.602
ETTh1,336,Autoformer,0.761,0.624
ETTh1,720,Autoformer,-,-
ETTh1,Avg,Autoformer,0.722,0.598
ETTh1,96,Stationary,0.952,0.650
ETTh1,192,Stationary,0.943,0.645
ETTh1,336,Stationary,0.935,0.644
ETTh1,720,Stationary,-,-
ETTh1,Avg,Stationary,0.943,0.646
ETTh1,96,ETSformer,1.169,0.832
ETTh1,192,ETSformer,1.221,0.853
ETTh1,336,ETSformer,1.179,0.832
ETTh1,720,ETSformer,-,-
ETTh1,Avg,ETSformer,1.189,0.839
ETTh1,96,LightTS,1.483,0.91
ETTh1,192,LightTS,1.525,0.93
ETTh1,336,LightTS,1.347,0.87
ETTh1,720,LightTS,-,-
ETTh1,Avg,LightTS,1.451,0.903
ETTh1,96,Informer,1.225,0.812
ETTh1,192,Informer,1.249,0.828
ETTh1,336,Informer,1.202,0.811
ETTh1,720,Informer,-,-
ETTh1,Avg,Informer,1.225,0.817
ETTh1,96,Reformer,1.198,0.795
ETTh1,192,Reformer,1.273,0.853
ETTh1,336,Reformer,1.254,0.857
ETTh1,720,Reformer,-,-
ETTh1,Avg,Reformer,1.241,0.835
ETTh2,96,RDTU,0.332,0.394
ETTh2,192,RDTU,0.405,0.423
ETTh2,336,RDTU,0.410,0.438
ETTh2,720,RDTU,-,-
ETTh2,Avg,RDTU,0.382,0.418
ETTh2,96,Time-LLM,0.336,0.397
ETTh2,192,Time-LLM,0.406,0.425
ETTh2,336,Time-LLM,0.405,0.432
ETTh2,720,Time-LLM,-,-
ETTh2,Avg,Time-LLM,0.382,0.418
ETTh2,96,GPT4TS,0.376,0.421
ETTh2,192,GPT4TS,0.418,0.441
ETTh2,336,GPT4TS,0.408,0.439
ETTh2,720,GPT4TS,-,-
ETTh2,Avg,GPT4TS,0.400,0.433
ETTh2,96,DLinear,0.442,0.456
ETTh2,192,DLinear,0.617,0.542
ETTh2,336,DLinear,1.424,0.849
ETTh2,720,DLinear,-,-
ETTh2,Avg,DLinear,0.694,0.577
ETTh2,96,PatchTST,0.401,0.421
ETTh2,192,PatchTST,0.452,0.455
ETTh2,336,PatchTST,0.464,0.469
ETTh2,720,PatchTST,-,-
ETTh2,Avg,PatchTST,0.827,0.615
ETTh2,96,TimesNet,0.409,0.420
ETTh2,192,TimesNet,0.483,0.464
ETTh2,336,TimesNet,0.499,0.479
ETTh2,720,TimesNet,-,-
ETTh2,Avg,TimesNet,0.439,0.448
ETTh2,96,FEDformer,0.390,0.424
ETTh2,192,FEDformer,0.457,0.465
ETTh2,336,FEDformer,0.477,0.483
ETTh2,720,FEDformer,-,-
ETTh2,Avg,FEDformer,0.463,0.454
ETTh2,96,Autoformer,0.428,0.468
ETTh2,192,Autoformer,0.496,0.504
ETTh2,336,Autoformer,0.486,0.496
ETTh2,720,Autoformer,-,-
ETTh2,Avg,Autoformer,0.441,0.457
ETTh2,96,Stationary,0.408,0.423
ETTh2,192,Stationary,0.497,0.468
ETTh2,336,Stationary,0.507,0.481
ETTh2,720,Stationary,-,-
ETTh2,Avg,Stationary,0.470,0.489
ETTh2,96,ETSformer,0.678,0.619
ETTh2,192,ETSformer,0.845,0.697
ETTh2,336,ETSformer,0.905,0.727
ETTh2,720,ETSformer,-,-
ETTh2,Avg,ETSformer,0.809,0.681
ETTh2,96,LightTS,2.022,1.006
ETTh2,192,LightTS,3.534,1.348
ETTh2,336,LightTS,4.063,1.451
ETTh2,720,LightTS,-,-
ETTh2,Avg,LightTS,3.206,1.268
ETTh2,96,Informer,3.837,1.508
ETTh2,192,Informer,3.975,1.933
ETTh2,336,Informer,3.956,1.520
ETTh2,720,Informer,-,-
ETTh2,Avg,Informer,3.922,1.653
ETTh2,96,Reformer,3.753,1.518
ETTh2,192,Reformer,3.516,1.473
ETTh2,336,Reformer,3.312,1.427
ETTh2,720,Reformer,-,-
ETTh2,Avg,Reformer,3.527,1.472
ETTm1,96,RDTU,0.313,0.369
ETTm1,192,RDTU,0.438,0.427
ETTm1,336,RDTU,0.446,0.431
ETTm1,720,RDTU,0.485,0.478
ETTm1,Avg,RDTU,0.421,0.426
ETTm1,96,Time-LLM,0.316,0.377
ETTm1,192,Time-LLM,0.450,0.464
ETTm1,336,Time-LLM,0.450,0.424
ETTm1,720,Time-LLM,0.483,0.471
ETTm1,Avg,Time-LLM,0.425,0.434
ETTm1,96,GPT4TS,0.386,0.405
ETTm1,192,GPT4TS,0.440,0.438
ETTm1,336,GPT4TS,0.485,0.459
ETTm1,720,GPT4TS,0.577,0.499
ETTm1,Avg,GPT4TS,0.472,0.450
ETTm1,96,DLinear,0.332,0.374
ETTm1,192,DLinear,0.358,0.390
ETTm1,336,DLinear,0.402,0.416
ETTm1,720,DLinear,0.511,0.489
ETTm1,Avg,DLinear,0.400,0.417
ETTm1,96,PatchTST,0.399,0.414
ETTm1,192,PatchTST,0.441,0.436
ETTm1,336,PatchTST,0.499,0.467
ETTm1,720,PatchTST,0.767,0.587
ETTm1,Avg,PatchTST,0.526,0.476
ETTm1,96,TimesNet,0.606,0.518
ETTm1,192,TimesNet,0.681,0.539
ETTm1,336,TimesNet,0.786,0.597
ETTm1,720,TimesNet,0.796,0.593
ETTm1,Avg,TimesNet,0.717,0.561
ETTm1,96,FEDformer,0.628,0.544
ETTm1,192,FEDformer,0.666,0.566
ETTm1,336,FEDformer,0.807,0.628
ETTm1,720,FEDformer,0.822,0.633
ETTm1,Avg,FEDformer,0.730,0.592
ETTm1,96,Autoformer,0.726,0.578
ETTm1,192,Autoformer,0.750,0.591
ETTm1,336,Autoformer,0.851,0.659
ETTm1,720,Autoformer,0.857,0.655
ETTm1,Avg,Autoformer,0.796,0.620
ETTm1,96,Stationary,0.823,0.587
ETTm1,192,Stationary,0.844,0.591
ETTm1,336,Stationary,0.870,0.603
ETTm1,720,Stationary,0.893,0.611
ETTm1,Avg,Stationary,0.857,0.598
ETTm1,96,ETSformer,1.031,0.747
ETTm1,192,ETSformer,1.087,0.766
ETTm1,336,ETSformer,1.138,0.787
ETTm1,720,ETSformer,1.245,0.831
ETTm1,Avg,ETSformer,1.125,0.782
ETTm1,96,LightTS,1.048,0.733
ETTm1,192,LightTS,1.097,0.756
ETTm1,336,LightTS,1.147,0.775
ETTm1,720,LightTS,1.200,0.799
ETTm1,Avg,LightTS,1.123,0.765
ETTm1,96,Informer,1.130,0.775
ETTm1,192,Informer,1.150,0.788
ETTm1,336,Informer,1.198,0.809
ETTm1,720,Informer,1.175,0.794
ETTm1,Avg,Informer,1.163,0.791
ETTm1,96,Reformer,1.234,0.798
ETTm1,192,Reformer,1.287,0.839
ETTm1,336,Reformer,1.288,0.842
ETTm1,720,Reformer,1.247,0.828
ETTm1,Avg,Reformer,1.264,0.826
