Dataset,Horizon,Model,MSE,MAE
ETTh1,96,RDTU,0.351,0.382
ETTh1,192,RDTU,0.389,0.403
ETTh1,336,RDTU,0.412,0.419
ETTh1,720,RDTU,0.442,0.446
ETTh1,Avg,RDTU,0.399,0.413
ETTh1,96,Autoformer,0.449,0.459
ETTh1,192,Autoformer,0.500,0.482
ETTh1,336,Autoformer,0.521,0.496
ETTh1,720,Autoformer,0.514,0.512
ETTh1,Avg,Autoformer,0.496,0.487
ETTh1,96,Stationary,0.513,0.491
ETTh1,192,Stationary,0.534,0.504
ETTh1,336,Stationary,0.588,0.535
ETTh1,720,Stationary,0.643,0.616
ETTh1,Avg,Stationary,0.570,0.537
ETTh1,96,ETSformer,0.494,0.479
ETTh1,192,ETSformer,0.538,0.504
ETTh1,336,ETSformer,0.574,0.521
ETTh1,720,ETSformer,0.562,0.535
ETTh1,Avg,ETSformer,0.542,0.510
ETTh1,96,LightTS,0.424,0.432
ETTh1,192,LightTS,0.475,0.462
ETTh1,336,LightTS,0.518,0.488
ETTh1,720,LightTS,0.547,0.533
ETTh1,Avg,LightTS,0.491,0.479
ETTh1,96,Informer,0.865,0.713
ETTh1,192,Informer,1.008,0.792
ETTh1,336,Informer,1.107,0.809
ETTh1,720,Informer,1.181,0.865
ETTh1,Avg,Informer,1.040,0.795
ETTh1,96,Reformer,0.837,0.728
ETTh1,192,Reformer,0.923,0.766
ETTh1,336,Reformer,1.097,0.835
ETTh1,720,Reformer,1.257,0.889
ETTh1,Avg,Reformer,1.029,0.805
ETTh2,96,RDTU,0.263,0.329
ETTh2,192,RDTU,0.334,0.372
ETTh2,336,RDTU,0.355,0.381
ETTh2,720,RDTU,0.395,0.425
ETTh2,Avg,RDTU,0.337,0.377
ETTh2,96,Autoformer,0.346,0.388
ETTh2,192,Autoformer,0.456,0.452
ETTh2,336,Autoformer,0.482,0.486
ETTh2,720,Autoformer,0.515,0.511
ETTh2,Avg,Autoformer,0.450,0.459
ETTh2,96,Stationary,0.476,0.458
ETTh2,192,Stationary,0.512,0.493
ETTh2,336,Stationary,0.552,0.551
ETTh2,720,Stationary,0.562,0.560
ETTh2,Avg,Stationary,0.526,0.516
ETTh2,96,ETSformer,0.340,0.391
ETTh2,192,ETSformer,0.430,0.439
ETTh2,336,ETSformer,0.485,0.479
ETTh2,720,ETSformer,0.500,0.497
ETTh2,Avg,ETSformer,0.439,0.452
ETTh2,96,LightTS,0.397,0.437
ETTh2,192,LightTS,0.520,0.504
ETTh2,336,LightTS,0.626,0.559
ETTh2,720,LightTS,0.863,0.672
ETTh2,Avg,LightTS,0.602,0.543
ETTh2,96,Informer,3.755,1.525
ETTh2,192,Informer,5.602,1.931
ETTh2,336,Informer,4.721,1.835
ETTh2,720,Informer,3.647,1.625
ETTh2,Avg,Informer,4.431,1.729
ETTh2,96,Reformer,2.626,1.317
ETTh2,192,Reformer,11.12,2.979
ETTh2,336,Reformer,9.323,2.769
ETTh2,720,Reformer,3.874,1.697
ETTh2,Avg,Reformer,6.736,2.191
ETTm1,96,RDTU,0.272,0.326
ETTm1,192,RDTU,0.327,0.354
ETTm1,336,RDTU,0.350,0.375
ETTm1,720,RDTU,0.410,0.412
ETTm1,Avg,RDTU,0.340,0.367
ETTm1,96,Autoformer,0.505,0.475
ETTm1,192,Autoformer,0.553,0.496
ETTm1,336,Autoformer,0.621,0.537
ETTm1,720,Autoformer,0.671,0.561
ETTm1,Avg,Autoformer,0.588,0.517
ETTm1,96,Stationary,0.386,0.398
ETTm1,192,Stationary,0.459,0.444
ETTm1,336,Stationary,0.495,0.464
ETTm1,720,Stationary,0.585,0.516
ETTm1,Avg,Stationary,0.481,0.456
ETTm1,96,ETSformer,0.375,0.398
ETTm1,192,ETSformer,0.408,0.410
ETTm1,336,ETSformer,0.435,0.428
ETTm1,720,ETSformer,0.499,0.462
ETTm1,Avg,ETSformer,0.429,0.425
ETTm1,96,LightTS,0.374,0.400
ETTm1,192,LightTS,0.400,0.407
ETTm1,336,LightTS,0.438,0.438
ETTm1,720,LightTS,0.527,0.502
ETTm1,Avg,LightTS,0.435,0.437
ETTm1,96,Informer,0.672,0.571
ETTm1,192,Informer,0.795,0.669
ETTm1,336,Informer,1.212,0.871
ETTm1,720,Informer,1.166,0.823
ETTm1,Avg,Informer,0.961,0.734
ETTm1,96,Reformer,0.538,0.528
ETTm1,192,Reformer,0.658,0.592
ETTm1,336,Reformer,0.898,0.721
ETTm1,720,Reformer,1.102,0.841
ETTm1,Avg,Reformer,0.799,0.671
ETTm2,96,RDTU,0.157,0.244
ETTm2,192,RDTU,0.219,0.288
ETTm2,336,RDTU,0.270,0.323
ETTm2,720,RDTU,0.354,0.379
ETTm2,Avg,RDTU,0.250,0.309
ETTm2,96,Autoformer,0.255,0.339
ETTm2,192,Autoformer,0.281,0.340
ETTm2,336,Autoformer,0.339,0.372
ETTm2,720,Autoformer,0.433,0.432
ETTm2,Avg,Autoformer,0.327,0.371
ETTm2,96,Stationary,0.192,0.274
ETTm2,192,Stationary,0.280,0.339
ETTm2,336,Stationary,0.334,0.361
ETTm2,720,Stationary,0.417,0.413
ETTm2,Avg,Stationary,0.306,0.347
ETTm2,96,ETSformer,0.189,0.280
ETTm2,192,ETSformer,0.253,0.319
ETTm2,336,ETSformer,0.314,0.357
ETTm2,720,ETSformer,0.414,0.413
ETTm2,Avg,ETSformer,0.293,0.342
ETTm2,96,LightTS,0.209,0.308
ETTm2,192,LightTS,0.311,0.382
ETTm2,336,LightTS,0.442,0.466
ETTm2,720,LightTS,0.675,0.587
ETTm2,Avg,LightTS,0.409,0.436
ETTm2,96,Informer,0.365,0.453
ETTm2,192,Informer,0.533,0.563
ETTm2,336,Informer,1.363,0.887
ETTm2,720,Informer,3.379,1.338
ETTm2,Avg,Informer,1.410,0.810
ETTm2,96,Reformer,0.658,0.619
ETTm2,192,Reformer,1.078,0.827
ETTm2,336,Reformer,1.549,0.972
ETTm2,720,Reformer,2.631,1.242
ETTm2,Avg,Reformer,1.479,0.915
Weather,96,RDTU,0.141,0.184
Weather,192,RDTU,0.189,0.227
Weather,336,RDTU,0.239,0.272
Weather,720,RDTU,0.314,0.322
Weather,Avg,RDTU,0.221,0.251
Weather,96,Autoformer,0.266,0.336
Weather,192,Autoformer,0.307,0.367
Weather,336,Autoformer,0.359,0.395
Weather,720,Autoformer,0.419,0.428
Weather,Avg,Autoformer,0.338,0.382
Weather,96,Stationary,0.173,0.223
Weather,192,Stationary,0.245,0.285
Weather,336,Stationary,0.321,0.338
Weather,720,Stationary,0.414,0.410
Weather,Avg,Stationary,0.288,0.314
Weather,96,ETSformer,0.197,0.281
Weather,192,ETSformer,0.237,0.312
Weather,336,ETSformer,0.298,0.353
Weather,720,ETSformer,0.352,0.288
Weather,Avg,ETSformer,0.271,0.334
Weather,96,LightTS,0.182,0.242
Weather,192,LightTS,0.227,0.287
Weather,336,LightTS,0.282,0.334
Weather,720,LightTS,0.352,0.386
Weather,Avg,LightTS,0.261,0.312
Weather,96,Informer,0.300,0.384
Weather,192,Informer,0.598,0.544
Weather,336,Informer,0.578,0.523
Weather,720,Informer,1.059,0.741
Weather,Avg,Informer,0.634,0.548
Weather,96,Reformer,0.689,0.596
Weather,192,Reformer,0.752,0.638
Weather,336,Reformer,0.639,0.596
Weather,720,Reformer,1.130,0.792
Weather,Avg,Reformer,0.803,0.656
Electricity,96,RDTU,0.124,0.210
Electricity,192,RDTU,0.144,0.235
Electricity,336,RDTU,0.162,0.257
Electricity,720,RDTU,0.193,0.281
Electricity,Avg,RDTU,0.156,0.246
Electricity,96,Autoformer,0.201,0.317
Electricity,192,Autoformer,0.222,0.334
Electricity,336,Autoformer,0.231,0.338
Electricity,720,Autoformer,0.254,0.361
Electricity,Avg,Autoformer,0.227,0.338
Electricity,96,Stationary,0.169,0.273
Electricity,192,Stationary,0.182,0.286
Electricity,336,Stationary,0.200,0.304
Electricity,720,Stationary,0.222,0.321
Electricity,Avg,Stationary,0.193,0.296
Electricity,96,ETSformer,0.187,0.304
Electricity,192,ETSformer,0.199,0.315
Electricity,336,ETSformer,0.212,0.329
Electricity,720,ETSformer,0.233,0.345
Electricity,Avg,ETSformer,0.208,0.323
Electricity,96,LightTS,0.207,0.307
Electricity,192,LightTS,0.213,0.316
Electricity,336,LightTS,0.230,0.333
Electricity,720,LightTS,0.265,0.360
Electricity,Avg,LightTS,0.229,0.329
Electricity,96,Informer,0.274,0.368
Electricity,192,Informer,0.296,0.386
Electricity,336,Informer,0.300,0.394
Electricity,720,Informer,0.373,0.439
Electricity,Avg,Informer,0.311,0.397
Electricity,96,Reformer,0.312,0.402
Electricity,192,Reformer,0.348,0.433
Electricity,336,Reformer,0.350,0.433
Electricity,720,Reformer,0.340,0.420
Electricity,Avg,Reformer,0.338,0.422
Traffic,96,RDTU,0.358,0.235
Traffic,192,RDTU,0.375,0.248
Traffic,336,RDTU,0.388,0.256
Traffic,720,RDTU,0.435,0.280
Traffic,Avg,RDTU,0.389,0.255
Traffic,96,Autoformer,0.613,0.388
Traffic,192,Autoformer,0.616,0.382
Traffic,336,Autoformer,0.622,0.337
Traffic,720,Autoformer,0.660,0.408
Traffic,Avg,Autoformer,0.628,0.379
Traffic,96,Stationary,0.612,0.338
Traffic,192,Stationary,0.613,0.340
Traffic,336,Stationary,0.618,0.328
Traffic,720,Stationary,0.653,0.355
Traffic,Avg,Stationary,0.624,0.340
Traffic,96,ETSformer,0.607,0.392
Traffic,192,ETSformer,0.621,0.399
Traffic,336,ETSformer,0.622,0.396
Traffic,720,ETSformer,0.632,0.396
Traffic,Avg,ETSformer,0.621,0.396
Traffic,96,LightTS,0.615,0.391
Traffic,192,LightTS,0.601,0.382
Traffic,336,LightTS,0.613,0.386
Traffic,720,LightTS,0.658,0.407
Traffic,Avg,LightTS,0.622,0.392
Traffic,96,Informer,0.719,0.391
Traffic,192,Informer,0.696,0.379
Traffic,336,Informer,0.777,0.420
Traffic,720,Informer,0.864,0.472
Traffic,Avg,Informer,0.764,0.416
Traffic,96,Reformer,0.732,0.423
Traffic,192,Reformer,0.733,0.420
Traffic,336,Reformer,0.742,0.420
Traffic,720,Reformer,0.755,0.423
Traffic,Avg,Reformer,0.741,0.422
ILI,24,RDTU,1.609,0.771
ILI,36,RDTU,1.453,0.835
ILI,48,RDTU,1.545,0.841
ILI,60,RDTU,1.630,0.802
ILI,Avg,RDTU,1.559,0.812
ILI,24,Autoformer,3.483,1.287
ILI,36,Autoformer,3.103,1.148
ILI,48,Autoformer,2.669,1.085
ILI,60,Autoformer,2.770,1.125
ILI,Avg,Autoformer,3.006,1.161
ILI,24,Stationary,2.294,0.945
ILI,36,Stationary,1.825,0.848
ILI,48,Stationary,2.010,0.900
ILI,60,Stationary,2.178,0.963
ILI,Avg,Stationary,2.077,0.914
ILI,24,ETSformer,2.527,1.020
ILI,36,ETSformer,2.615,1.007
ILI,48,ETSformer,2.359,0.972
ILI,60,ETSformer,2.487,1.016
ILI,Avg,ETSformer,2.497,1.004
ILI,24,LightTS,8.313,2.144
ILI,36,LightTS,6.631,1.902
ILI,48,LightTS,7.299,1.982
ILI,60,LightTS,7.283,1.985
ILI,Avg,LightTS,7.382,2.003
ILI,24,Informer,5.764,1.677
ILI,36,Informer,4.755,1.467
ILI,48,Informer,4.763,1.469
ILI,60,Informer,5.264,1.564
ILI,Avg,Informer,5.137,1.544
ILI,24,Reformer,4.400,1.382
ILI,36,Reformer,4.783,1.448
ILI,48,Reformer,4.832,1.465
ILI,60,Reformer,4.882,1.483
ILI,Avg,Reformer,4.724,1.445
