Dataset,Horizon,Model,MSE,MAE
ETTh1,Avg,RDTU,0.399,0.413
ETTh1,Avg,GPT4TS,0.418,0.421
ETTh1,Avg,Time-LLM,0.418,0.432
ETTh1,Avg,DMMV-A,0.395,0.414
ETTh1,Avg,Time-VLM,0.405,0.420
ETTh1,Avg,VisionTS,0.407,0.419
ETTh1,Avg,PatchTST,0.413,0.431
ETTh1,Avg,CycleNet,0.415,0.426
ETTh1,Avg,TimesNet,0.458,0.450
ETTh1,Avg,DLinear,0.423,0.430
ETTh1,Avg,FEDformer,0.440,0.460
ETTh2,Avg,RDTU,0.337,0.377
ETTh2,Avg,GPT4TS,0.354,0.389
ETTh2,Avg,Time-LLM,0.361,0.396
ETTh2,Avg,DMMV-A,0.337,0.388
ETTh2,Avg,Time-VLM,0.341,0.391
ETTh2,Avg,VisionTS,0.351,0.386
ETTh2,Avg,PatchTST,0.330,0.379
ETTh2,Avg,CycleNet,0.355,0.398
ETTh2,Avg,TimesNet,0.414,0.427
ETTh2,Avg,DLinear,0.431,0.447
ETTh2,Avg,FEDformer,0.437,0.449
ETTm1,Avg,RDTU,0.340,0.367
ETTm1,Avg,GPT4TS,0.363,0.378
ETTm1,Avg,Time-LLM,0.356,0.377
ETTm1,Avg,DMMV-A,0.340,0.371
ETTm1,Avg,Time-VLM,0.351,0.376
ETTm1,Avg,VisionTS,0.344,0.373
ETTm1,Avg,PatchTST,0.351,0.381
ETTm1,Avg,CycleNet,0.355,0.379
ETTm1,Avg,TimesNet,0.400,0.406
ETTm1,Avg,DLinear,0.357,0.379
ETTm1,Avg,FEDformer,0.448,0.452
ETTm2,Avg,RDTU,0.250,0.309
ETTm2,Avg,GPT4TS,0.254,0.311
ETTm2,Avg,Time-LLM,0.261,0.316
ETTm2,Avg,DMMV-A,0.256,0.317
ETTm2,Avg,Time-VLM,0.248,0.311
ETTm2,Avg,VisionTS,0.267,0.327
ETTm2,Avg,PatchTST,0.255,0.315
ETTm2,Avg,CycleNet,0.251,0.309
ETTm2,Avg,TimesNet,0.291,0.333
ETTm2,Avg,DLinear,0.267,0.332
ETTm2,Avg,FEDformer,0.305,0.349
Illness,Avg,RDTU,1.559,0.812
Illness,Avg,GPT4TS,1.871,0.852
Illness,Avg,Time-LLM,2.018,0.894
Illness,Avg,DMMV-A,1.407,0.771
Illness,Avg,Time-VLM,--,--
Illness,Avg,VisionTS,1.482,0.796
Illness,Avg,PatchTST,1.443,0.798
Illness,Avg,CycleNet,2.187,0.992
Illness,Avg,TimesNet,2.139,0.931
Illness,Avg,DLinear,2.169,1.041
Illness,Avg,FEDformer,2.847,1.144
Electricity,Avg,RDTU,0.156,0.246
Electricity,Avg,GPT4TS,0.170,0.263
Electricity,Avg,Time-LLM,0.165,0.259
Electricity,Avg,DMMV-A,0.158,0.248
Electricity,Avg,Time-VLM,0.172,0.272
Electricity,Avg,VisionTS,0.159,0.250
Electricity,Avg,PatchTST,0.162,0.253
Electricity,Avg,CycleNet,0.158,0.250
Electricity,Avg,TimesNet,0.193,0.295
Electricity,Avg,DLinear,0.166,0.264
Electricity,Avg,FEDformer,0.214,0.327
Weather,Avg,RDTU,0.221,0.251
Weather,Avg,GPT4TS,0.227,0.255
Weather,Avg,Time-LLM,0.244,0.270
Weather,Avg,DMMV-A,0.217,0.256
Weather,Avg,Time-VLM,0.224,0.263
Weather,Avg,VisionTS,0.225,0.258
Weather,Avg,PatchTST,0.226,0.264
Weather,Avg,CycleNet,0.242,0.278
Weather,Avg,TimesNet,0.259,0.287
Weather,Avg,DLinear,0.249,0.300
Weather,Avg,FEDformer,0.309,0.360
Traffic,Avg,RDTU,0.389,0.255
Traffic,Avg,GPT4TS,0.421,0.274
Traffic,Avg,Time-LLM,0.422,0.281
Traffic,Avg,DMMV-A,0.389,0.257
Traffic,Avg,Time-VLM,0.419,0.304
Traffic,Avg,VisionTS,0.386,0.256
Traffic,Avg,PatchTST,0.391,0.264
Traffic,Avg,CycleNet,0.421,0.289
Traffic,Avg,TimesNet,0.620,0.336
Traffic,Avg,DLinear,0.434,0.295
Traffic,Avg,FEDformer,0.610,0.376
