Dataset,Horizon,Model,MSE,MAE
ETTh1,96,RDTU,0.351,0.382
ETTh1,192,RDTU,0.389,0.403
ETTh1,336,RDTU,0.412,0.419
ETTh1,720,RDTU,0.442,0.446
ETTh1,Avg,RDTU,0.399,0.413
ETTh1,96,GPT4TS,0.370,0.389
ETTh1,192,GPT4TS,0.412,0.413
ETTh1,336,GPT4TS,0.448,0.431
ETTh1,720,GPT4TS,0.441,0.449
ETTh1,Avg,GPT4TS,0.418,0.421
ETTh1,96,Time-LLM,0.376,0.402
ETTh1,192,Time-LLM,0.407,0.421
ETTh1,336,Time-LLM,0.430,0.438
ETTh1,720,Time-LLM,0.457,0.468
ETTh1,Avg,Time-LLM,0.418,0.432
ETTh1,96,DMMV-A,0.354,0.389
ETTh1,192,DMMV-A,0.393,0.405
ETTh1,336,DMMV-A,0.387,0.413
ETTh1,720,DMMV-A,0.445,0.450
ETTh1,Avg,DMMV-A,0.395,0.414
ETTh1,96,Time-VLM,0.361,0.386
ETTh1,192,Time-VLM,0.397,0.415
ETTh1,336,Time-VLM,0.420,0.421
ETTh1,720,Time-VLM,0.441,0.458
ETTh1,Avg,Time-VLM,0.405,0.420
ETTh1,96,VisionTS,0.355,0.386
ETTh1,192,VisionTS,0.395,0.407
ETTh1,336,VisionTS,0.419,0.421
ETTh1,720,VisionTS,0.458,0.460
ETTh1,Avg,VisionTS,0.407,0.419
ETTh1,96,PatchTST,0.370,0.399
ETTh1,192,PatchTST,0.413,0.421
ETTh1,336,PatchTST,0.422,0.436
ETTh1,720,PatchTST,0.447,0.466
ETTh1,Avg,PatchTST,0.413,0.431
ETTh1,96,CycleNet,0.374,0.396
ETTh1,192,CycleNet,0.406,0.415
ETTh1,336,CycleNet,0.431,0.430
ETTh1,720,CycleNet,0.450,0.464
ETTh1,Avg,CycleNet,0.415,0.426
ETTh1,96,TimesNet,0.384,0.402
ETTh1,192,TimesNet,0.436,0.429
ETTh1,336,TimesNet,0.491,0.469
ETTh1,720,TimesNet,0.521,0.500
ETTh1,Avg,TimesNet,0.458,0.450
ETTh1,96,DLinear,0.375,0.399
ETTh1,192,DLinear,0.405,0.416
ETTh1,336,DLinear,0.439,0.416
ETTh1,720,DLinear,0.472,0.490
ETTh1,Avg,DLinear,0.423,0.430
ETTh1,96,FEDformer,0.376,0.419
ETTh1,192,FEDformer,0.420,0.448
ETTh1,336,FEDformer,0.459,0.465
ETTh1,720,FEDformer,0.506,0.507
ETTh1,Avg,FEDformer,0.440,0.460
ETTh2,96,RDTU,0.263,0.329
ETTh2,192,RDTU,0.334,0.372
ETTh2,336,RDTU,0.355,0.381
ETTh2,720,RDTU,0.395,0.425
ETTh2,Avg,RDTU,0.337,0.377
ETTh2,96,GPT4TS,0.280,0.335
ETTh2,192,GPT4TS,0.348,0.380
ETTh2,336,GPT4TS,0.380,0.405
ETTh2,720,GPT4TS,0.406,0.436
ETTh2,Avg,GPT4TS,0.354,0.389
ETTh2,96,Time-LLM,0.286,0.346
ETTh2,192,Time-LLM,0.361,0.391
ETTh2,336,Time-LLM,0.390,0.414
ETTh2,720,Time-LLM,0.405,0.434
ETTh2,Avg,Time-LLM,0.361,0.396
ETTh2,96,DMMV-A,0.294,0.349
ETTh2,192,DMMV-A,0.339,0.395
ETTh2,336,DMMV-A,0.322,0.384
ETTh2,720,DMMV-A,0.392,0.425
ETTh2,Avg,DMMV-A,0.337,0.388
ETTh2,96,Time-VLM,0.267,0.335
ETTh2,192,Time-VLM,0.326,0.373
ETTh2,336,Time-VLM,0.357,0.406
ETTh2,720,Time-VLM,0.412,0.449
ETTh2,Avg,Time-VLM,0.341,0.391
ETTh2,96,VisionTS,0.288,0.334
ETTh2,192,VisionTS,0.349,0.380
ETTh2,336,VisionTS,0.364,0.398
ETTh2,720,VisionTS,0.403,0.431
ETTh2,Avg,VisionTS,0.351,0.386
ETTh2,96,PatchTST,0.274,0.336
ETTh2,192,PatchTST,0.339,0.379
ETTh2,336,PatchTST,0.329,0.380
ETTh2,720,PatchTST,0.379,0.422
ETTh2,Avg,PatchTST,0.330,0.379
ETTh2,96,CycleNet,0.279,0.341
ETTh2,192,CycleNet,0.342,0.385
ETTh2,336,CycleNet,0.371,0.413
ETTh2,720,CycleNet,0.426,0.451
ETTh2,Avg,CycleNet,0.355,0.398
ETTh2,96,TimesNet,0.340,0.374
ETTh2,192,TimesNet,0.402,0.414
ETTh2,336,TimesNet,0.452,0.452
ETTh2,720,TimesNet,0.462,0.468
ETTh2,Avg,TimesNet,0.414,0.427
ETTh2,96,DLinear,0.289,0.353
ETTh2,192,DLinear,0.383,0.418
ETTh2,336,DLinear,0.448,0.465
ETTh2,720,DLinear,0.605,0.551
ETTh2,Avg,DLinear,0.431,0.447
ETTh2,96,FEDformer,0.358,0.397
ETTh2,192,FEDformer,0.429,0.439
ETTh2,336,FEDformer,0.496,0.487
ETTh2,720,FEDformer,0.463,0.474
ETTh2,Avg,FEDformer,0.437,0.449
ETTm1,96,RDTU,0.272,0.326
ETTm1,192,RDTU,0.327,0.354
ETTm1,336,RDTU,0.350,0.375
ETTm1,720,RDTU,0.410,0.412
ETTm1,Avg,RDTU,0.340,0.367
ETTm1,96,GPT4TS,0.300,0.340
ETTm1,192,GPT4TS,0.343,0.368
ETTm1,336,GPT4TS,0.376,0.386
ETTm1,720,GPT4TS,0.431,0.416
ETTm1,Avg,GPT4TS,0.363,0.378
ETTm1,96,Time-LLM,0.291,0.341
ETTm1,192,Time-LLM,0.341,0.369
ETTm1,336,Time-LLM,0.359,0.379
ETTm1,720,Time-LLM,0.433,0.419
ETTm1,Avg,Time-LLM,0.356,0.377
ETTm1,96,DMMV-A,0.279,0.329
ETTm1,192,DMMV-A,0.317,0.357
ETTm1,336,DMMV-A,0.351,0.381
ETTm1,720,DMMV-A,0.411,0.415
ETTm1,Avg,DMMV-A,0.340,0.371
ETTm1,96,Time-VLM,0.304,0.346
ETTm1,192,Time-VLM,0.332,0.366
ETTm1,336,Time-VLM,0.364,0.383
ETTm1,720,Time-VLM,0.402,0.410
ETTm1,Avg,Time-VLM,0.351,0.376
ETTm1,96,VisionTS,0.284,0.332
ETTm1,192,VisionTS,0.327,0.362
ETTm1,336,VisionTS,0.354,0.382
ETTm1,720,VisionTS,0.411,0.415
ETTm1,Avg,VisionTS,0.344,0.373
ETTm1,96,PatchTST,0.290,0.342
ETTm1,192,PatchTST,0.332,0.369
ETTm1,336,PatchTST,0.366,0.392
ETTm1,720,PatchTST,0.416,0.420
ETTm1,Avg,PatchTST,0.351,0.381
ETTm1,96,CycleNet,0.299,0.348
ETTm1,192,CycleNet,0.334,0.367
ETTm1,336,CycleNet,0.368,0.386
ETTm1,720,CycleNet,0.417,0.414
ETTm1,Avg,CycleNet,0.355,0.379
ETTm1,96,TimesNet,0.338,0.375
ETTm1,192,TimesNet,0.374,0.387
ETTm1,336,TimesNet,0.410,0.411
ETTm1,720,TimesNet,0.478,0.450
ETTm1,Avg,TimesNet,0.400,0.406
ETTm1,96,DLinear,0.299,0.343
ETTm1,192,DLinear,0.335,0.365
ETTm1,336,DLinear,0.369,0.386
ETTm1,720,DLinear,0.425,0.421
ETTm1,Avg,DLinear,0.357,0.379
ETTm1,96,FEDformer,0.379,0.419
ETTm1,192,FEDformer,0.426,0.441
ETTm1,336,FEDformer,0.445,0.459
ETTm1,720,FEDformer,0.543,0.490
ETTm1,Avg,FEDformer,0.448,0.452
ETTm2,96,RDTU,0.157,0.244
ETTm2,192,RDTU,0.219,0.288
ETTm2,336,RDTU,0.270,0.323
ETTm2,720,RDTU,0.354,0.379
ETTm2,Avg,RDTU,0.250,0.309
ETTm2,96,GPT4TS,0.163,0.249
ETTm2,192,GPT4TS,0.222,0.291
ETTm2,336,GPT4TS,0.273,0.327
ETTm2,720,GPT4TS,0.357,0.376
ETTm2,Avg,GPT4TS,0.254,0.311
ETTm2,96,Time-LLM,0.162,0.248
ETTm2,192,Time-LLM,0.235,0.304
ETTm2,336,Time-LLM,0.280,0.329
ETTm2,720,Time-LLM,0.366,0.382
ETTm2,Avg,Time-LLM,0.261,0.316
ETTm2,96,DMMV-A,0.172,0.260
ETTm2,192,DMMV-A,0.227,0.298
ETTm2,336,DMMV-A,0.272,0.327
ETTm2,720,DMMV-A,0.351,0.381
ETTm2,Avg,DMMV-A,0.256,0.317
ETTm2,96,Time-VLM,0.160,0.250
ETTm2,192,Time-VLM,0.215,0.291
ETTm2,336,Time-VLM,0.270,0.325
ETTm2,720,Time-VLM,0.348,0.378
ETTm2,Avg,Time-VLM,0.248,0.311
ETTm2,96,VisionTS,0.174,0.262
ETTm2,192,VisionTS,0.228,0.297
ETTm2,336,VisionTS,0.281,0.337
ETTm2,720,VisionTS,0.384,0.410
ETTm2,Avg,VisionTS,0.267,0.327
ETTm2,96,PatchTST,0.165,0.255
ETTm2,192,PatchTST,0.220,0.292
ETTm2,336,PatchTST,0.274,0.329
ETTm2,720,PatchTST,0.362,0.385
ETTm2,Avg,PatchTST,0.255,0.315
ETTm2,96,CycleNet,0.159,0.247
ETTm2,192,CycleNet,0.214,0.286
ETTm2,336,CycleNet,0.269,0.322
ETTm2,720,CycleNet,0.363,0.382
ETTm2,Avg,CycleNet,0.251,0.309
ETTm2,96,TimesNet,0.187,0.267
ETTm2,192,TimesNet,0.249,0.309
ETTm2,336,TimesNet,0.321,0.351
ETTm2,720,TimesNet,0.408,0.403
ETTm2,Avg,TimesNet,0.291,0.333
ETTm2,96,DLinear,0.167,0.260
ETTm2,192,DLinear,0.224,0.303
ETTm2,336,DLinear,0.281,0.342
ETTm2,720,DLinear,0.397,0.421
ETTm2,Avg,DLinear,0.267,0.332
ETTm2,96,FEDformer,0.203,0.287
ETTm2,192,FEDformer,0.269,0.328
ETTm2,336,FEDformer,0.325,0.366
ETTm2,720,FEDformer,0.421,0.415
ETTm2,Avg,FEDformer,0.305,0.349
Illness,24,RDTU,1.609,0.771
Illness,36,RDTU,1.453,0.835
Illness,48,RDTU,1.545,0.841
Illness,60,RDTU,1.630,0.802
Illness,Avg,RDTU,1.559,0.812
Illness,24,GPT4TS,1.869,0.823
Illness,36,GPT4TS,1.853,0.854
Illness,48,GPT4TS,1.886,0.855
Illness,60,GPT4TS,1.877,0.877
Illness,Avg,GPT4TS,1.871,0.852
Illness,24,Time-LLM,1.792,0.807
Illness,36,Time-LLM,1.833,0.833
Illness,48,Time-LLM,2.269,1.012
Illness,60,Time-LLM,2.177,0.925
Illness,Avg,Time-LLM,2.018,0.894
Illness,24,DMMV-A,1.409,0.754
Illness,36,DMMV-A,1.290,0.745
Illness,48,DMMV-A,1.499,0.810
Illness,60,DMMV-A,1.428,0.773
Illness,Avg,DMMV-A,1.407,0.771
Illness,24,Time-VLM,--,--
Illness,36,Time-VLM,--,--
Illness,48,Time-VLM,--,--
Illness,60,Time-VLM,--,--
Illness,Avg,Time-VLM,--,--
Illness,24,VisionTS,1.613,0.834
Illness,36,VisionTS,1.316,0.750
Illness,48,VisionTS,1.548,0.818
Illness,60,VisionTS,1.450,0.783
Illness,Avg,VisionTS,1.482,0.796
Illness,24,PatchTST,1.319,0.754
Illness,36,PatchTST,1.430,0.834
Illness,48,PatchTST,1.553,0.815
Illness,60,PatchTST,1.470,0.788
Illness,Avg,PatchTST,1.443,0.798
Illness,24,CycleNet,2.255,1.017
Illness,36,CycleNet,2.121,0.950
Illness,48,CycleNet,2.187,1.007
Illness,60,CycleNet,2.185,0.997
Illness,Avg,CycleNet,2.187,0.992
Illness,24,TimesNet,2.317,0.934
Illness,36,TimesNet,1.972,0.920
Illness,48,TimesNet,2.238,0.940
Illness,60,TimesNet,2.027,0.928
Illness,Avg,TimesNet,2.139,0.931
Illness,24,DLinear,2.215,1.081
Illness,36,DLinear,1.963,0.963
Illness,48,DLinear,2.130,1.024
Illness,60,DLinear,2.368,1.096
Illness,Avg,DLinear,2.169,1.041
Illness,24,FEDformer,3.228,1.260
Illness,36,FEDformer,2.679,1.080
Illness,48,FEDformer,2.622,1.078
Illness,60,FEDformer,2.857,1.157
Illness,Avg,FEDformer,2.847,1.144
Electricity,96,RDTU,0.124,0.210
Electricity,192,RDTU,0.144,0.235
Electricity,336,RDTU,0.162,0.257
Electricity,720,RDTU,0.193,0.281
Electricity,Avg,RDTU,0.156,0.246
Electricity,96,GPT4TS,0.141,0.239
Electricity,192,GPT4TS,0.158,0.253
Electricity,336,GPT4TS,0.172,0.266
Electricity,720,GPT4TS,0.207,0.293
Electricity,Avg,GPT4TS,0.170,0.263
Electricity,96,Time-LLM,0.137,0.233
Electricity,192,Time-LLM,0.152,0.247
Electricity,336,Time-LLM,0.169,0.267
Electricity,720,Time-LLM,0.200,0.290
Electricity,Avg,Time-LLM,0.165,0.259
Electricity,96,DMMV-A,0.126,0.213
Electricity,192,DMMV-A,0.145,0.237
Electricity,336,DMMV-A,0.162,0.254
Electricity,720,DMMV-A,0.197,0.286
Electricity,Avg,DMMV-A,0.158,0.248
Electricity,96,Time-VLM,0.142,0.245
Electricity,192,Time-VLM,0.157,0.260
Electricity,336,Time-VLM,0.174,0.276
Electricity,720,Time-VLM,0.214,0.308
Electricity,Avg,Time-VLM,0.172,0.272
Electricity,96,VisionTS,0.127,0.217
Electricity,192,VisionTS,0.148,0.237
Electricity,336,VisionTS,0.163,0.253
Electricity,720,VisionTS,0.199,0.293
Electricity,Avg,VisionTS,0.159,0.250
Electricity,96,PatchTST,0.129,0.222
Electricity,192,PatchTST,0.157,0.240
Electricity,336,PatchTST,0.163,0.259
Electricity,720,PatchTST,0.197,0.290
Electricity,Avg,PatchTST,0.162,0.253
Electricity,96,CycleNet,0.128,0.223
Electricity,192,CycleNet,0.144,0.237
Electricity,336,CycleNet,0.160,0.254
Electricity,720,CycleNet,0.198,0.287
Electricity,Avg,CycleNet,0.158,0.250
Electricity,96,TimesNet,0.168,0.272
Electricity,192,TimesNet,0.184,0.289
Electricity,336,TimesNet,0.198,0.300
Electricity,720,TimesNet,0.220,0.320
Electricity,Avg,TimesNet,0.193,0.295
Electricity,96,DLinear,0.140,0.237
Electricity,192,DLinear,0.153,0.249
Electricity,336,DLinear,0.169,0.267
Electricity,720,DLinear,0.203,0.301
Electricity,Avg,DLinear,0.166,0.264
Electricity,96,FEDformer,0.193,0.308
Electricity,192,FEDformer,0.201,0.315
Electricity,336,FEDformer,0.214,0.329
Electricity,720,FEDformer,0.246,0.355
Electricity,Avg,FEDformer,0.214,0.327
Weather,96,RDTU,0.141,0.184
Weather,192,RDTU,0.189,0.227
Weather,336,RDTU,0.239,0.272
Weather,720,RDTU,0.314,0.322
Weather,Avg,RDTU,0.221,0.251
Weather,96,GPT4TS,0.148,0.188
Weather,192,GPT4TS,0.192,0.230
Weather,336,GPT4TS,0.246,0.273
Weather,720,GPT4TS,0.320,0.328
Weather,Avg,GPT4TS,0.227,0.255
Weather,96,Time-LLM,0.155,0.199
Weather,192,Time-LLM,0.223,0.261
Weather,336,Time-LLM,0.251,0.279
Weather,720,Time-LLM,0.345,0.342
Weather,Avg,Time-LLM,0.244,0.270
Weather,96,DMMV-A,0.143,0.195
Weather,192,DMMV-A,0.187,0.242
Weather,336,DMMV-A,0.237,0.273
Weather,720,DMMV-A,0.302,0.315
Weather,Avg,DMMV-A,0.217,0.256
Weather,96,Time-VLM,0.148,0.200
Weather,192,Time-VLM,0.193,0.240
Weather,336,Time-VLM,0.243,0.281
Weather,720,Time-VLM,0.312,0.332
Weather,Avg,Time-VLM,0.224,0.263
Weather,96,VisionTS,0.146,0.191
Weather,192,VisionTS,0.194,0.238
Weather,336,VisionTS,0.243,0.275
Weather,720,VisionTS,0.318,0.328
Weather,Avg,VisionTS,0.225,0.258
Weather,96,PatchTST,0.149,0.198
Weather,192,PatchTST,0.194,0.241
Weather,336,PatchTST,0.245,0.282
