Dataset,Metric,Model,Value
Yearly,SMAPE,RDTU,13.408
Yearly,MASE,RDTU,3.014
Yearly,OWA,RDTU,0.788
Yearly,SMAPE,Time-LLM,13.419
Yearly,MASE,Time-LLM,3.005
Yearly,OWA,Time-LLM,0.789
Yearly,SMAPE,GPT4TS,15.11
Yearly,MASE,GPT4TS,3.565
Yearly,OWA,GPT4TS,0.911
Yearly,SMAPE,TimesNet,15.378
Yearly,MASE,TimesNet,3.554
Yearly,OWA,TimesNet,0.918
Yearly,SMAPE,PatchTST,13.477
Yearly,MASE,PatchTST,3.019
Yearly,OWA,PatchTST,0.792
Yearly,SMAPE,N-HiTS,13.422
Yearly,MASE,N-HiTS,3.056
Yearly,OWA,N-HiTS,0.795
Yearly,SMAPE,N-BEATS,13.487
Yearly,MASE,N-BEATS,3.036
Yearly,OWA,N-BEATS,0.795
Yearly,SMAPE,ETSformer,18.009
Yearly,MASE,ETSformer,4.487
Yearly,OWA,ETSformer,1.115
Yearly,SMAPE,LightTS,14.247
Yearly,MASE,LightTS,3.109
Yearly,OWA,LightTS,0.827
Yearly,SMAPE,DLinear,16.965
Yearly,MASE,DLinear,4.283
Yearly,OWA,DLinear,1.058
Yearly,SMAPE,FEDformer,14.021
Yearly,MASE,FEDformer,3.036
Yearly,OWA,FEDformer,0.811
Yearly,SMAPE,Stationary,13.717
Yearly,MASE,Stationary,3.078
Yearly,OWA,Stationary,0.807
Yearly,SMAPE,Autoformer,13.974
Yearly,MASE,Autoformer,3.134
Yearly,OWA,Autoformer,0.822
Yearly,SMAPE,Informer,14.727
Yearly,MASE,Informer,3.418
Yearly,OWA,Informer,0.881
Yearly,SMAPE,Reformer,16.169
Yearly,MASE,Reformer,3.800
Yearly,OWA,Reformer,0.973
Quarterly,SMAPE,RDTU,10.094
Quarterly,MASE,RDTU,1.176
Quarterly,OWA,RDTU,0.888
Quarterly,SMAPE,Time-LLM,10.110
Quarterly,MASE,Time-LLM,1.178
Quarterly,OWA,Time-LLM,0.889
Quarterly,SMAPE,GPT4TS,10.597
Quarterly,MASE,GPT4TS,1.253
Quarterly,OWA,GPT4TS,0.938
Quarterly,SMAPE,TimesNet,10.465
Quarterly,MASE,TimesNet,1.227
Quarterly,OWA,TimesNet,0.923
Quarterly,SMAPE,PatchTST,10.38
Quarterly,MASE,PatchTST,1.233
Quarterly,OWA,PatchTST,0.921
Quarterly,SMAPE,N-HiTS,10.185
Quarterly,MASE,N-HiTS,1.18
Quarterly,OWA,N-HiTS,0.893
Quarterly,SMAPE,N-BEATS,10.564
Quarterly,MASE,N-BEATS,1.252
Quarterly,OWA,N-BEATS,0.936
Quarterly,SMAPE,ETSformer,13.376
Quarterly,MASE,ETSformer,1.906
Quarterly,OWA,ETSformer,1.302
Quarterly,SMAPE,LightTS,11.364
Quarterly,MASE,LightTS,1.328
Quarterly,OWA,LightTS,1.000
Quarterly,SMAPE,DLinear,12.145
Quarterly,MASE,DLinear,1.520
Quarterly,OWA,DLinear,1.106
Quarterly,SMAPE,FEDformer,11.1
Quarterly,MASE,FEDformer,1.35
Quarterly,OWA,FEDformer,0.996
Quarterly,SMAPE,Stationary,10.958
Quarterly,MASE,Stationary,1.325
Quarterly,OWA,Stationary,0.981
Quarterly,SMAPE,Autoformer,11.338
Quarterly,MASE,Autoformer,1.365
Quarterly,OWA,Autoformer,1.012
Quarterly,SMAPE,Informer,11.360
Quarterly,MASE,Informer,1.401
Quarterly,OWA,Informer,1.027
Quarterly,SMAPE,Reformer,13.313
Quarterly,MASE,Reformer,1.775
Quarterly,OWA,Reformer,1.252
Monthly,SMAPE,RDTU,12.977
Monthly,MASE,RDTU,0.968
Monthly,OWA,RDTU,0.903
Monthly,SMAPE,Time-LLM,12.980
Monthly,MASE,Time-LLM,0.963
Monthly,OWA,Time-LLM,0.903
Monthly,SMAPE,GPT4TS,13.258
Monthly,MASE,GPT4TS,1.003
Monthly,OWA,GPT4TS,0.931
Monthly,SMAPE,TimesNet,13.513
Monthly,MASE,TimesNet,1.039
Monthly,OWA,TimesNet,0.957
Monthly,SMAPE,PatchTST,12.959
Monthly,MASE,PatchTST,0.97
Monthly,OWA,PatchTST,0.905
Monthly,SMAPE,N-HiTS,13.059
Monthly,MASE,N-HiTS,1.013
Monthly,OWA,N-HiTS,0.929
Monthly,SMAPE,N-BEATS,13.089
Monthly,MASE,N-BEATS,0.996
Monthly,OWA,N-BEATS,0.922
Monthly,SMAPE,ETSformer,14.588
Monthly,MASE,ETSformer,1.368
Monthly,OWA,ETSformer,1.149
Monthly,SMAPE,LightTS,14.014
Monthly,MASE,LightTS,1.053
Monthly,OWA,LightTS,0.981
Monthly,SMAPE,DLinear,13.514
Monthly,MASE,DLinear,1.037
Monthly,OWA,DLinear,0.956
Monthly,SMAPE,FEDformer,14.403
Monthly,MASE,FEDformer,1.147
Monthly,OWA,FEDformer,1.038
Monthly,SMAPE,Stationary,13.917
Monthly,MASE,Stationary,1.097
Monthly,OWA,Stationary,0.998
Monthly,SMAPE,Autoformer,13.958
Monthly,MASE,Autoformer,1.103
Monthly,OWA,Autoformer,1.002
Monthly,SMAPE,Informer,14.062
Monthly,MASE,Informer,1.141
Monthly,OWA,Informer,1.024
Monthly,SMAPE,Reformer,20.128
Monthly,MASE,Reformer,2.614
Monthly,OWA,Reformer,1.927
Others,SMAPE,RDTU,4.730
Others,MASE,RDTU,3.086
Others,OWA,RDTU,0.985
Others,SMAPE,Time-LLM,4.795
Others,MASE,Time-LLM,3.178
Others,OWA,Time-LLM,1.006
Others,SMAPE,GPT4TS,6.124
Others,MASE,GPT4TS,4.116
Others,OWA,GPT4TS,1.259
