Dataset,Horizon,Model,MSE,MAE
ETTh1 → ETTh2,Avg,RDTU,0.344,0.379
ETTh1 → ETTh2,Avg,Time-LLM,0.353,0.387
ETTh1 → ETTh2,Avg,LLMTime,0.992,0.708
ETTh1 → ETTh2,Avg,GPT4TS,0.406,0.422
ETTh1 → ETTh2,Avg,DLinear,0.493,0.488
ETTh1 → ETTh2,Avg,PatchTST,0.380,0.405
ETTh1 → ETTh2,Avg,TimesNet,0.421,0.431
ETTh1 → ETTh2,Avg,Autoformer,0.582,0.548
ETTh1 → ETTm2,Avg,RDTU,0.266,0.333
ETTh1 → ETTm2,Avg,Time-LLM,0.273,0.340
ETTh1 → ETTm2,Avg,LLMTime,1.867,0.869
ETTh1 → ETTm2,Avg,GPT4TS,0.325,0.363
ETTh1 → ETTm2,Avg,DLinear,0.415,0.452
ETTh1 → ETTm2,Avg,PatchTST,0.314,0.360
ETTh1 → ETTm2,Avg,TimesNet,0.327,0.361
ETTh1 → ETTm2,Avg,Autoformer,0.457,0.483
ETTh2 → ETTh1,Avg,RDTU,0.480,0.471
ETTh2 → ETTh1,Avg,Time-LLM,0.479,0.474
ETTh2 → ETTh1,Avg,LLMTime,1.961,0.981
ETTh2 → ETTh1,Avg,GPT4TS,0.757,0.578
ETTh2 → ETTh1,Avg,DLinear,0.703,0.574
ETTh2 → ETTh1,Avg,PatchTST,0.565,0.513
ETTh2 → ETTh1,Avg,TimesNet,0.865,0.621
ETTh2 → ETTh1,Avg,Autoformer,0.757,0.608
ETTh2 → ETTm2,Avg,RDTU,0.268,0.329
ETTh2 → ETTm2,Avg,Time-LLM,0.272,0.341
ETTh2 → ETTm2,Avg,LLMTime,1.867,0.869
ETTh2 → ETTm2,Avg,GPT4TS,0.335,0.370
ETTh2 → ETTm2,Avg,DLinear,0.328,0.386
ETTh2 → ETTm2,Avg,PatchTST,0.325,0.365
ETTh2 → ETTm2,Avg,TimesNet,0.342,0.376
ETTh2 → ETTm2,Avg,Autoformer,0.366,0.411
ETTm1 → ETTh2,Avg,RDTU,0.378,0.408
ETTm1 → ETTh2,Avg,Time-LLM,0.381,0.412
ETTm1 → ETTh2,Avg,LLMTime,0.992,0.708
ETTm1 → ETTh2,Avg,GPT4TS,0.433,0.439
ETTm1 → ETTh2,Avg,DLinear,0.464,0.475
ETTm1 → ETTh2,Avg,PatchTST,0.439,0.438
ETTm1 → ETTh2,Avg,TimesNet,0.457,0.454
ETTm1 → ETTh2,Avg,Autoformer,0.470,0.479
ETTm1 → ETTm2,Avg,RDTU,0.261,0.316
ETTm1 → ETTm2,Avg,Time-LLM,0.268,0.320
ETTm1 → ETTm2,Avg,LLMTime,1.867,0.869
ETTm1 → ETTm2,Avg,GPT4TS,0.313,0.348
ETTm1 → ETTm2,Avg,DLinear,0.335,0.389
ETTm1 → ETTm2,Avg,PatchTST,0.296,0.334
ETTm1 → ETTm2,Avg,TimesNet,0.322,0.354
ETTm1 → ETTm2,Avg,Autoformer,0.469,0.484
ETTm2 → ETTh2,Avg,RDTU,0.351,0.395
ETTm2 → ETTh2,Avg,Time-LLM,0.354,0.400
ETTm2 → ETTh2,Avg,LLMTime,0.992,0.708
ETTm2 → ETTh2,Avg,GPT4TS,0.435,0.443
ETTm2 → ETTh2,Avg,DLinear,0.455,0.471
ETTm2 → ETTh2,Avg,PatchTST,0.409,0.425
ETTm2 → ETTh2,Avg,TimesNet,0.435,0.443
ETTm2 → ETTh2,Avg,Autoformer,0.423,0.439
ETTm2 → ETTm1,Avg,RDTU,0.412,0.434
ETTm2 → ETTm1,Avg,Time-LLM,0.414,0.438
ETTm2 → ETTm1,Avg,LLMTime,1.933,0.984
ETTm2 → ETTm1,Avg,GPT4TS,0.769,0.567
ETTm2 → ETTm1,Avg,DLinear,0.649,0.537
ETTm2 → ETTm1,Avg,PatchTST,0.568,0.492
ETTm2 → ETTm1,Avg,TimesNet,0.769,0.567
ETTm2 → ETTm1,Avg,Autoformer,0.755,0.591
