Dataset,Horizon,Model,MSE,MAE
ETTh1 → ETTh2,96,RDTU,0.272,0.329
ETTh1 → ETTh2,192,RDTU,0.343,0.368
ETTh1 → ETTh2,336,RDTU,0.378,0.407
ETTh1 → ETTh2,720,RDTU,0.384,0.413
ETTh1 → ETTh2,Avg,RDTU,0.344,0.379
ETTh1 → ETTh2,96,Time-LLM,0.279,0.337
ETTh1 → ETTh2,192,Time-LLM,0.351,0.374
ETTh1 → ETTh2,336,Time-LLM,0.388,0.415
ETTh1 → ETTh2,720,Time-LLM,0.391,0.420
ETTh1 → ETTh2,Avg,Time-LLM,0.353,0.387
ETTh1 → ETTh2,96,LLMTime,0.510,0.576
ETTh1 → ETTh2,192,LLMTime,0.523,0.586
ETTh1 → ETTh2,336,LLMTime,0.640,0.637
ETTh1 → ETTh2,720,LLMTime,2.296,1.034
ETTh1 → ETTh2,Avg,LLMTime,0.992,0.708
ETTh1 → ETTh2,96,GPT4TS,0.335,0.374
ETTh1 → ETTh2,192,GPT4TS,0.412,0.417
ETTh1 → ETTh2,336,GPT4TS,0.441,0.444
ETTh1 → ETTh2,720,GPT4TS,0.438,0.452
ETTh1 → ETTh2,Avg,GPT4TS,0.406,0.422
ETTh1 → ETTh2,96,DLinear,0.347,0.400
ETTh1 → ETTh2,192,DLinear,0.447,0.460
ETTh1 → ETTh2,336,DLinear,0.515,0.505
ETTh1 → ETTh2,720,DLinear,0.665,0.589
ETTh1 → ETTh2,Avg,DLinear,0.493,0.488
ETTh1 → ETTh2,96,PatchTST,0.304,0.350
ETTh1 → ETTh2,192,PatchTST,0.386,0.400
ETTh1 → ETTh2,336,PatchTST,0.414,0.428
ETTh1 → ETTh2,720,PatchTST,0.419,0.443
ETTh1 → ETTh2,Avg,PatchTST,0.380,0.405
ETTh1 → ETTh2,96,TimesNet,0.358,0.387
ETTh1 → ETTh2,192,TimesNet,0.427,0.429
ETTh1 → ETTh2,336,TimesNet,0.449,0.451
ETTh1 → ETTh2,720,TimesNet,0.448,0.458
ETTh1 → ETTh2,Avg,TimesNet,0.421,0.431
ETTh1 → ETTh2,96,Autoformer,0.469,0.486
ETTh1 → ETTh2,192,Autoformer,0.634,0.567
ETTh1 → ETTh2,336,Autoformer,0.655,0.588
ETTh1 → ETTh2,720,Autoformer,0.570,0.549
ETTh1 → ETTh2,Avg,Autoformer,0.582,0.548
ETTh1 → ETTm2,96,RDTU,0.178,0.282
ETTh1 → ETTm2,192,RDTU,0.231,0.307
ETTh1 → ETTm2,336,RDTU,0.287,0.359
ETTh1 → ETTm2,720,RDTU,0.367,0.383
ETTh1 → ETTm2,Avg,RDTU,0.266,0.333
ETTh1 → ETTm2,96,Time-LLM,0.189,0.293
ETTh1 → ETTm2,192,Time-LLM,0.237,0.312
ETTh1 → ETTm2,336,Time-LLM,0.291,0.365
ETTh1 → ETTm2,720,Time-LLM,0.372,0.390
ETTh1 → ETTm2,Avg,Time-LLM,0.273,0.340
ETTh1 → ETTm2,96,LLMTime,0.646,0.563
ETTh1 → ETTm2,192,LLMTime,0.934,0.654
ETTh1 → ETTm2,336,LLMTime,1.157,0.728
ETTh1 → ETTm2,720,LLMTime,4.730,1.531
ETTh1 → ETTm2,Avg,LLMTime,1.867,0.869
ETTh1 → ETTm2,96,GPT4TS,0.236,0.315
ETTh1 → ETTm2,192,GPT4TS,0.287,0.342
ETTh1 → ETTm2,336,GPT4TS,0.341,0.374
ETTh1 → ETTm2,720,GPT4TS,0.435,0.422
ETTh1 → ETTm2,Avg,GPT4TS,0.325,0.363
ETTh1 → ETTm2,96,DLinear,0.255,0.357
ETTh1 → ETTm2,192,DLinear,0.338,0.413
ETTh1 → ETTm2,336,DLinear,0.425,0.465
ETTh1 → ETTm2,720,DLinear,0.640,0.573
ETTh1 → ETTm2,Avg,DLinear,0.415,0.452
ETTh1 → ETTm2,96,PatchTST,0.215,0.304
ETTh1 → ETTm2,192,PatchTST,0.275,0.339
ETTh1 → ETTm2,336,PatchTST,0.334,0.373
ETTh1 → ETTm2,720,PatchTST,0.431,0.424
ETTh1 → ETTm2,Avg,PatchTST,0.314,0.360
ETTh1 → ETTm2,96,TimesNet,0.239,0.313
ETTh1 → ETTm2,192,TimesNet,0.291,0.342
ETTh1 → ETTm2,336,TimesNet,0.342,0.371
ETTh1 → ETTm2,720,TimesNet,0.434,0.419
ETTh1 → ETTm2,Avg,TimesNet,0.327,0.361
ETTh1 → ETTm2,96,Autoformer,0.352,0.432
ETTh1 → ETTm2,192,Autoformer,0.413,0.460
ETTh1 → ETTm2,336,Autoformer,0.465,0.489
ETTh1 → ETTm2,720,Autoformer,0.599,0.551
ETTh1 → ETTm2,Avg,Autoformer,0.457,0.483
ETTh2 → ETTh1,96,RDTU,0.446,0.449
ETTh2 → ETTh1,192,RDTU,0.462,0.459
ETTh2 → ETTh1,336,RDTU,0.503,0.480
ETTh2 → ETTh1,720,RDTU,0.509,0.495
ETTh2 → ETTh1,Avg,RDTU,0.480,0.471
ETTh2 → ETTh1,96,Time-LLM,0.450,0.452
ETTh2 → ETTh1,192,Time-LLM,0.465,0.461
ETTh2 → ETTh1,336,Time-LLM,0.501,0.482
ETTh2 → ETTh1,720,Time-LLM,0.501,0.502
ETTh2 → ETTh1,Avg,Time-LLM,0.479,0.474
ETTh2 → ETTh1,96,LLMTime,1.130,0.777
ETTh2 → ETTh1,192,LLMTime,1.242,0.820
ETTh2 → ETTh1,336,LLMTime,1.328,0.864
ETTh2 → ETTh1,720,LLMTime,4.145,1.461
ETTh2 → ETTh1,Avg,LLMTime,1.961,0.981
ETTh2 → ETTh1,96,GPT4TS,0.732,0.577
ETTh2 → ETTh1,192,GPT4TS,0.758,0.559
ETTh2 → ETTh1,336,GPT4TS,0.759,0.578
ETTh2 → ETTh1,720,GPT4TS,0.781,0.597
ETTh2 → ETTh1,Avg,GPT4TS,0.757,0.578
ETTh2 → ETTh1,96,DLinear,0.689,0.555
ETTh2 → ETTh1,192,DLinear,0.707,0.568
ETTh2 → ETTh1,336,DLinear,0.710,0.577
ETTh2 → ETTh1,720,DLinear,0.704,0.596
ETTh2 → ETTh1,Avg,DLinear,0.703,0.574
ETTh2 → ETTh1,96,PatchTST,0.485,0.465
ETTh2 → ETTh1,192,PatchTST,0.565,0.509
ETTh2 → ETTh1,336,PatchTST,0.581,0.515
ETTh2 → ETTh1,720,PatchTST,0.628,0.561
ETTh2 → ETTh1,Avg,PatchTST,0.565,0.513
ETTh2 → ETTh1,96,TimesNet,0.848,0.601
ETTh2 → ETTh1,192,TimesNet,0.860,0.610
ETTh2 → ETTh1,336,TimesNet,0.867,0.626
ETTh2 → ETTh1,720,TimesNet,0.887,0.648
ETTh2 → ETTh1,Avg,TimesNet,0.865,0.621
ETTh2 → ETTh1,96,Autoformer,0.693,0.569
ETTh2 → ETTh1,192,Autoformer,0.760,0.601
ETTh2 → ETTh1,336,Autoformer,0.781,0.619
ETTh2 → ETTh1,720,Autoformer,0.796,0.644
ETTh2 → ETTh1,Avg,Autoformer,0.757,0.608
ETTh2 → ETTm2,96,RDTU,0.169,0.269
ETTh2 → ETTm2,192,RDTU,0.228,0.307
ETTh2 → ETTm2,336,RDTU,0.288,0.330
ETTh2 → ETTm2,720,RDTU,0.387,0.411
ETTh2 → ETTm2,Avg,RDTU,0.268,0.329
ETTh2 → ETTm2,96,Time-LLM,0.174,0.276
ETTh2 → ETTm2,192,Time-LLM,0.233,0.315
ETTh2 → ETTm2,336,Time-LLM,0.291,0.337
ETTh2 → ETTm2,720,Time-LLM,0.392,0.417
ETTh2 → ETTm2,Avg,Time-LLM,0.272,0.341
ETTh2 → ETTm2,96,LLMTime,0.646,0.563
ETTh2 → ETTm2,192,LLMTime,0.934,0.654
ETTh2 → ETTm2,336,LLMTime,1.157,0.728
ETTh2 → ETTm2,720,LLMTime,4.730,1.531
ETTh2 → ETTm2,Avg,LLMTime,1.867,0.869
ETTh2 → ETTm2,96,GPT4TS,0.253,0.329
ETTh2 → ETTm2,192,GPT4TS,0.293,0.346
ETTh2 → ETTm2,336,GPT4TS,0.347,0.376
ETTh2 → ETTm2,720,GPT4TS,0.446,0.429
ETTh2 → ETTm2,Avg,GPT4TS,0.335,0.370
ETTh2 → ETTm2,96,DLinear,0.240,0.336
ETTh2 → ETTm2,192,DLinear,0.295,0.369
ETTh2 → ETTm2,336,DLinear,0.345,0.397
ETTh2 → ETTm2,720,DLinear,0.432,0.442
ETTh2 → ETTm2,Avg,DLinear,0.328,0.386
ETTh2 → ETTm2,96,PatchTST,0.226,0.309
